Title,Supervisor,Aim,URLs,Pre- and Co-Req,Background
Security vulnerabilities of Bitcoin and the mitigation,Supervisors: Joseph Liu and Ron Steinfeld,"Although some potential attacks on the Bitcoin network and its use as a payment system, real or theoretical, have been identified by researchers, there exists more vulnerabilities yet to be discovered. The aim of this project is to identify some potential security vulnerabilities of Bitcoin and propose the corresponding mitigation.",,Familiarity with the basics of digital currency would be an advantage.,"[2] Marcin Andrychowicz, Stefan Dziembowski, Daniel Malinowski, and Lukasz Mazurek. Secure multiparty computations on Bitcoin. In Security and Privacy (SP), 2014 IEEE Symposium on Security and Privacy, May 2014."
,,,https://pypi.python.org/pypi/MutPy/0.4.0,,
,,,http://pitest.org,,
,,,http://pitest.org/quickstart/incremental_analysis/,,
Efficiency and effectiveness of Incremental Mutation Analysis,Supervisors: Robert Merkel,"In this project, we will collect empirical evidence about the performance improvements, and effects on mutation score accuracy, of incremental mutation analysis.",,Useful skills for this project include:,"Yue Jia; Harman, M., ""An Analysis and Survey of the Development of Mutation Testing,"" Software Engineering, IEEE Transactions on , vol.37, no.5, pp.649,678, Sept.-Oct. 2011"
,,,https://css-tricks.com/icon-fonts-vs,,
Machine learning algorithms in “face icon maker” system for semantic and sentiment analysis of social network data,Supervisors: Associate Professor Vincent Lee & Dr Yen Cheung,"Social network such as Facebook and Twitter are known for its convenient and massive short text propagation. When users interact with each other (post, comment, or @someone), they attempt to make the text more attractive to express their feelings. A face icon system  is the platform that can  launch feelings. However, the tradition face icon uses non-adaptive algorithms for users to configure their preference, they have to search, post or installed in the system, which beside inconveniences, tedious and lack of desired accuracy. This project  aims to develop machine  learning algorithms that explore and exploit structured and semi-structure text data from social networks for semantic and sentiment analyses, which can be used by enterprise decision makers for improving product design and service quality.",,"Text analytic mining, simulation software tool","Social network such as Facebook and Twitter are known for its convenient and massive short text propagation. When users interact with each other (post, comment, or @someone), they attempt to make the text more attractive to express their feelings. A face icon system  is the platform that can  launch feelings. However, the tradition face icon uses non-adaptive algorithms for users to configure their preference, they have to search, post or installed in the system, which beside inconveniences, tedious and lack of desired accuracy. This project  aims to develop machine  learning algorithms that explore and exploit structured and semi-structure text data from social networks for semantic and sentiment analyses, which can be used by enterprise decision makers for improving product design and service quality."
Is cyber-crime operation cost predictable?,"Supervisors: Associate Professor Vincent Lee & Dr Jianneng Cao (I2R, Singapore)","Body of practice-based literature has proposed cyber-crime estimated cost based generally on annual loss equivalent to justify for cyber-crime preventive budget for hard- and software purchase/development. Recent advance in big data analytic tools provide new insights  on the predictive capability of  real time cyber-crime operational cost. This project explores how to predict enterprise specific cyber-crime cost via big data analytic tools that exploit the descriptive, predictive and prescriptive analytics of cyber-crime data.",,"Simulation software tool (e.g. Java Script, JADE or MATLAB)","Howard E. Glavin (2003), “A Risk Modelling Methodology,” Computer Security Journal, vol. 19, no. 3 (Summer),pp.1-2; and Soo Hoo, How Much Is Enough? pp.4-12."
,,,http://spectrum.ieee.org/telecom/security/how-to-build-a-safer-internet-of-things,,
Security for the Internet of Things (IoT),Supervisors: Ron Steinfeld and Joseph Liu and Carsten Rudolph,"The goal of this project is to explore, implement and evaluate the practicality of protocols for securing the privacy and/or integrity of large scale, highly distributed IoT networks of low-power devices.",,"Depending on the nature of the project topic selected, the student should have either (1) Good programming skills and/or (2) good mathematical skills, and preferably both. Familiarity with the basics of cryptography would be an advantage.","Practical Implementation/evaluation -oriented projects will likely involve evaluating the secure protocol implementations on sample embedded hardware devices incorporating sensors, in collaboration with the Monash Dept. of Electrical and Computer Systems Engineering."
,,,https://eprint.iacr.org/2013/451.pdf,,
Investigation of Cryptographic Code Obfuscation,Supervisors: Ron Steinfeld,"The aim of this project is to evaluate the practicality of and explore improvements to some of the new theoretical code obfuscation methods related to sound security foundations, in particular the construction in [2]. Depending on student interest and capabilities,  the specific goals of this  project would be to evaluate the concrete memory and time requirements of these mechanisms, namely:",,Familiarity with the basics of cryptography would be an advantage. The student should have good mathematical and programming skills.,"Computational Efficiency: Evaluate the practical computational cost of the mechanism by implementing a prototype of the mechanism using efficient algorithms for the underlying mathematical computations (based on existing specialised arithmetic libraries), and evaluating its performance."
,,,"-Cash, D., Jarecki, S., Jutla, C., Krawczyk, H., Ro¸su, M.-C. and Steiner, M. Highly-scalable searchable symmetric encryption with support for boolean queries, Advances in Cryptology–CRYPTO 2013, Springer, pp. 353–373. Available online at https://eprint.iacr.org/2013/169.pdf",,
Encrypted Database System,"Supervisor: Joseph Liu, Ron Steinfeld and David Taniar","The goal of this project is to explore, develop and evaluate improvements to a selected functionality and/or efficiency aspect of existing encrypted database systems, with the aim of improving their practicality. Examples include:",,"The student should have (1) Good programming skills and/or (2) Familiarity with the basics of cryptography and distributed computing environments (such as Hadoop, Hive, HBase).","*Ranking Search Results: Current searchable encrypted database schemes do not support such a ranking functionality at the server. The goal is to investigate the feasibility of adding such functionality, while preserving a good  level of privacy against the server."
,,,https://ltrac.eng.monash.edu.au/,,
,,,https://www.youtube.com/watch?v=GW2LRo2ZigQ&feature=iv&src_vid=10ZCn6KCRYs&annotation_id=annotation_652212,,
Interactive visualisation of aerospace data using Virtual Reality displays,"Supervisors: Maxime Cordeil, Tobias Czauderna (FIT), Callum Atkison (Eng)","The project is focused on identifying and developing tools and an efficient workflow that will allow for the visualisation of the 3D velocity fields of large (8193 x 1000 x 1362 grid points and 340 Gb per time step) direct numerical simulations of the complex turbulent  flows in  the study of aerodynamics and aerospace engineering. The aim of the project is to establish a system by which we can efficiently render various aspect of this dataset and explore the relationships between different features and structures and their interaction in this  complex flow.  Typically, isosurfaces visualisations (see attached images) and animations of the 3D velocity fields are used to understand this data. This project will involve bringing this kind of visualisation to Virtual Reality displays such as the Oculus Rift and/or the CAVE2,  a large  virtual reality room with 80 high definition screen and tracking system.",,3D programming,"The project is focused on identifying and developing tools and an efficient workflow that will allow for the visualisation of the 3D velocity fields of large (8193 x 1000 x 1362 grid points and 340 Gb per time step) direct numerical simulations of the complex turbulent  flows in  the study of aerodynamics and aerospace engineering. The aim of the project is to establish a system by which we can efficiently render various aspect of this dataset and explore the relationships between different features and structures and their interaction in this  complex flow.  Typically, isosurfaces visualisations (see attached images) and animations of the 3D velocity fields are used to understand this data. This project will involve bringing this kind of visualisation to Virtual Reality displays such as the Oculus Rift and/or the CAVE2,  a large  virtual reality room with 80 high definition screen and tracking system."
A Community Centred Data Aggregation Model,"Supervisors: Vincent Lee, Yen Cheung, Chan Cheah","As a means to managing council complaints and compliments, this project’s goal is to design and develop a data aggregation model that provides a community centred and traceable approach in registering to resolving council complaints across different escalating  authorities. This model should also  incorporate useful analytics reporting to the different stakeholders.",,Prefer BIS majors otherwise none,"As a means to managing council complaints and compliments, this project’s goal is to design and develop a data aggregation model that provides a community centred and traceable approach in registering to resolving council complaints across different escalating  authorities. This model should also  incorporate useful analytics reporting to the different stakeholders."
,,,https://knowyourcouncil.vic.gov.au/about,,
,,,http://www.dtpli.vic.gov.au/local-government/strengthening-councils/council-performance-reporting/about-the-performance-reporting-framework,,
A Community Centred Governance Model,"Supervisors: Vincent Lee, Yen Cheung, Chan Cheah",This project involves the development of a governance model that incorporates Gov 2.0 concepts and the KPIs of the Local Government.,,Prefer BIS majors otherwise none.,"To date, RV was part of the Fair Go Rates committee, and is now part of the Local Government Performance Reporting Framework (LGPRF) committee, developing better KPI metrics for Local Government. RV also facilitates ratepayer advocates to better leverage technology to support their reform contributing  activities. Therefore, it also plays  important roles in forming strategic partnerships; ICT enabled governance tools, including future Local Government big data analytics data capture and reporting capabilities"
Change-point Detection in Hand Movement Data,"Supervisors: Ingrid Zukerman, Jason Friedman (Tel Aviv University), Andisheh Partovi",Developing a change-point detection algorithm to identify the changes in the trajectory of hand movements as soon they occur.,,"FIT3080/FIT5047 Intelligent systems or equivalent is a mandatory prerequisite, and knowledge of time-series analysis is highly desirable.","As part of an experiment on human perception and decision making (Physiology Department, Tel Aviv University), we have a set of hand movement data of subjects pointing in different directions, and possibly changing their direction in mid-action. We need to analyse these  data in order to determine  the time when the subjects have decided to change their pointing direction. This helps physiology researchers better understand the timeline of the decision making process in the brain. In order to identify the changes in the hand movement profile, the  student can utilise statistical  approaches such as Hidden Markov Models, which are often used in time series analysis and anomaly detection."
,,,https://www.npmjs.com/package/sphero,,
,,,https://software.intel.com/en-us/iot/hardware/edison,,
Improving autonomous guidance within BB-8™ rolling droid by adding higher processing capabilities,Supervisors:,"LE Bluetooth connectivity will be established using Sphero’s Orbotix JavaScript SDK [1] for passing the droid’s sensory data to a higher speed processor. This processor will analyse the sensory data in real-time, using parallel GA and FANN, to compute  a suitable path for obstacle  avoidance. Limited range of the Bluetooth connection requires an intermediate computing device, which can be placed quite close to the droid for practical use. For this purpose, an Intel Edison IoT board [2], shall be made available for final testing  of the software.",,"C/C++, and Java/Javascript. Knowledge of MPI (message passing interface) will be highly regarded.","LE Bluetooth connectivity will be established using Sphero’s Orbotix JavaScript SDK [1] for passing the droid’s sensory data to a higher speed processor. This processor will analyse the sensory data in real-time, using parallel GA and FANN, to compute  a suitable path for obstacle  avoidance. Limited range of the Bluetooth connection requires an intermediate computing device, which can be placed quite close to the droid for practical use. For this purpose, an Intel Edison IoT board [2], shall be made available for final testing  of the software."
,,,[1] Loading Load Caffe framework models in OpenCV http://docs.opencv.org/trunk/d5/de7/tutorial_dnn_googlenet.html#gsc.tab=0,,
,,,"[2] Open MPI Library, https://www.open-mpi.org/",,
A fast deeplearning framework for multiple scene analyses,Supervisors:,This project will implement a parallel-distributed framework for rapid processing of multiple video streams for image classification. The code will be developed using the deeplearning module within OpenCV [1]. This code will be networked using message passing interface  (MPI) [2] or a similar  library. The code will thus be able to analyse an increasing number of video streams with relatively small increases in processing time.,,C/C++ and Python.  Knowledge of MPI (message passing  interface) and Java/Javascript will be highly regarded.,This project will implement a parallel-distributed framework for rapid processing of multiple video streams for image classification. The code will be developed using the deeplearning module within OpenCV [1]. This code will be networked using message passing interface  (MPI) [2] or a similar  library. The code will thus be able to analyse an increasing number of video streams with relatively small increases in processing time.
Mobile App for injury surveillance in Cricket,Supervisors:,"Re-design the existing CricPredict (injury surveillance App) so that it can run across platforms, and provides better UI. The App will be field tested with Mildura West Cricket Club. The resulting protocol for the App, along with validation of injury data will be  published as a protocol paper  in Sports Technology Journal.",,"A knowledge of Mobile programming, App Development & SQL servers.","Soomro, N., R. Sanders, and M. Soomro. ""Cricket injury prediction and surveillance by mobile application technology on smartphones."" Journal of Science and Medicine in Sport 19 (2015): e6."
Quality of data framework for supporting healthcare information management,Supervisors:,The project will take a generic framework for data quality evaluation as a starting point to demonstrate its applicability to the large Australian healthcare institution. It will follow design science research to refine the framework through applying it to suit  the needs of information management  team.,,"Knowledge of systems analysis and design and decision support principles, information management and knowledge management units completion will be useful",The project will take a generic framework for data quality evaluation as a starting point to demonstrate its applicability to the large Australian healthcare institution. It will follow design science research to refine the framework through applying it to suit  the needs of information management  team.
,,,http://www.harabor.net/daniel/index.php/pathfinding/,,
Pathfinding for Games,Supervisors: Daniel Harabor,"In this project you will develop new and efficient pathfinding techniques for game characters operating in a 2D grid environment. There are many possibilities for you to explore. For example, you might choose to investigate a class of ""symmetry breaking'' pathfinding  techniques which speed up search  by eliminating equivalent (and thus redundant) alternative paths. Another possibility involves dynamic settings where the grid world changes (e.g. an open door becomes closed) and characters must re-plan their routes. A third possibility is multi-agent  pathfinding, such as cooperative settings  where groups of characters move at the same time or where one character tries to evade another.",,Students interested in this project should be enthusiastic about programming.,"In this project you will develop new and efficient pathfinding techniques for game characters operating in a 2D grid environment. There are many possibilities for you to explore. For example, you might choose to investigate a class of ""symmetry breaking'' pathfinding  techniques which speed up search  by eliminating equivalent (and thus redundant) alternative paths. Another possibility involves dynamic settings where the grid world changes (e.g. an open door becomes closed) and characters must re-plan their routes. A third possibility is multi-agent  pathfinding, such as cooperative settings  where groups of characters move at the same time or where one character tries to evade another."
,,,https://en.wikipedia.org/wiki/Integer_programming,,
,,,https://www.ibm.com/software/commerce/optimization/cplex-optimizer/,,
,,,http://arxiv.org/abs/1511.01818,,
Algorithm analysis techniques to improve Integer Programming solvers,Supervisors: Pierre Le Bodic,"We will use algorithm analysis techniques (as in e.g. [3]) to theoretically investigate how algorithms are combined in state-of-the-art IP solving, and try to come up with better algorithms.",,A taste for algorithm analysis and computational complexity is desirable.,"We will use algorithm analysis techniques (as in e.g. [3]) to theoretically investigate how algorithms are combined in state-of-the-art IP solving, and try to come up with better algorithms."
Game theoretical models of reputation dynamics,Supervisors: Julian Garcia,"Reputation is important in enabling reliable interactions between strangers across many domains, including a host of applications online [1]. Simple mathematical models demonstrate that strangers can learn to cooperate with each other sustainably, if doing so will  enhance their reputation [2, 3].  These models use game theory to understand how agents learn to coordinate their independent actions [4]. While the resulting models of reputation dynamics are insightful, they are often based on games that are too simple and detached from reality  [5]. This project addresses that  gap by combining agent-based models and game theory.",,"Problem solving skills, an interest in applied mathematics and simulation and skills in Python, C or both.","Reputation is important in enabling reliable interactions between strangers across many domains, including a host of applications online [1]. Simple mathematical models demonstrate that strangers can learn to cooperate with each other sustainably, if doing so will  enhance their reputation [2, 3].  These models use game theory to understand how agents learn to coordinate their independent actions [4]. While the resulting models of reputation dynamics are insightful, they are often based on games that are too simple and detached from reality  [5]. This project addresses that  gap by combining agent-based models and game theory."
,,,https://en.wikipedia.org/wiki/AlphaGo,,
Deep Learning for Playing Games,Supervisors: Reza Haffari,"In this project, we look into the deep learning technology behind Deepmind's game players and try to understand and improvement it. Particularly, we look into employing better neural reinforcement learning algorithms for learning intelligent agents.",,Data Structures and Algorithms (,"In this project, we look into the deep learning technology behind Deepmind's game players and try to understand and improvement it. Particularly, we look into employing better neural reinforcement learning algorithms for learning intelligent agents."
,,,http://www.kdnuggets.com/2015/03/deep-learning-text-understanding-from-scratch.html,,
,,,http://www.wildml.com/2016/01/attention-and-memory-in-deep-learning-and-nlp/#more-548,,
Deep Learning for Text Understanding,Supervisors: Reza Haffari,"In this project we aim to build neural models for better analysis of text. Potential applications include machine translation, text summarisation, textual reasoning, etc.",,Data Structures and Algorithms (,"In this project we aim to build neural models for better analysis of text. Potential applications include machine translation, text summarisation, textual reasoning, etc."
Clustering for hierarchical time series forecasting with big time series data,Supervisors: Christoph Bergmeir,"The main challenge of this dataset is that many of the products are similar but have a short history as the assortment changes relatively quickly with fashion trends, so just using univariate time series forecasting may often not be possible due to this short history. In this project, we aim to apply different clustering techniques (kmeans, dbscan, MML-based clustering) on features extracted from the time series and features that are known independently (master data). In this way, we can determine the similarity between series and can then use the these similarities in subsequent forecasting steps, to achieve more accurate forecasts.",,"R programming, Data Science, Machine Learning, Clustering techniques","The main challenge of this dataset is that many of the products are similar but have a short history as the assortment changes relatively quickly with fashion trends, so just using univariate time series forecasting may often not be possible due to this short history. In this project, we aim to apply different clustering techniques (kmeans, dbscan, MML-based clustering) on features extracted from the time series and features that are known independently (master data). In this way, we can determine the similarity between series and can then use the these similarities in subsequent forecasting steps, to achieve more accurate forecasts."
Is Digital Health a Problem or a Solution: Health Informatics cases analysis and design,"Supervisors: Prof Frada Burstein, A/Prof Henry Linger (FIT), Prof Marilyn Baird",The aim of this project is to collect and analyse a range of successful and problematic cases of healthcare delivery where the information technology went right or wrong. The result of the analysis will be described and presented as a library of cases suitable for teaching health informatics to medical students.,,Interest in health informatics is a bonus.,The aim of this project is to collect and analyse a range of successful and problematic cases of healthcare delivery where the information technology went right or wrong. The result of the analysis will be described and presented as a library of cases suitable for teaching health informatics to medical students.
Efficient algorithms for scheduling visits to student placements,"Supervisors: Sue Bedingfield, Kerri Morgan and Dhananjay Thiruvady","This project aims to develop an efficient algorithm for scheduling visits to students on placement. Each student must be visited by one of a group of visitors subject to a number of constraints including availability of students and their supervisors and visitors, time required to travel between locations, workload of each visitor, and a preference to have a different visitor visit a given student on each visit. Ideally, we want to minimise the distances travelled between locations, ensure that the number of visits at a single location occur sequentially and are allocated to the same visitor, and minimise the amount of time required by a visitor to complete their workload of visits.",,Required: Strong programming skills. Able to write scripts for tasks such as re-formatting data and collating results.,"Scheduling is itself hard, and this problem is potentially harder due to the many requirements. In this project, the student will explore the use of heuristics and mixed integer programming can be applied to obtain an efficient algorithm for this problem. The demand for an effective solution to this problem has wide-ranging applications particularly with increasing numbers of student placement programs."
Car sequencing,Supervisors: Kerri Morgan and Dhananjay Thiruvady,"Car manufacturers typically encounter the problem of determining a sequence of cars to be scheduled on an assembly line. The cars require several options (e.g. air conditioners, sun roofs, etc.) and cars requiring the same options need to be spaced out far enough apart such that the stations installing the options can effectively deal with the demand.",,* Required: Programming skills in C++ or python,"We have developed mixed integer programming-based heuristic algorithms to solve car sequencing consisting of 500 cars. The aim of this project will be to extend current algorithms or develop new algorithms to be able to deal with many more cars (e.g., 2000 cars). This will also require creating/extending a problem generator which can be used to create large and interesting problem instances."
Deep learning to identify pool pump power consumption,Supervisors: Lachlan Andrew and Zahraa Abdallah,"The aim of this project is to implement a convolutional neural networks to identify the times of use of pool pumps that are on timers. This problem is equivalent to looking for rectangles in a very noisy image, with non-stationary, highly correlated and highly anisotropic noise (i.e., the noise is very different in different parts of the image, the noise at one pixel is very similarly to noise at nearby pixels, and the correlation is different in different directions).",,Basic maths is needed,"The convolutions neural networks will be trained on several images where the rectangles have been identified manually. If time permits, the performance of the neural network will be compared with that of an existing heuristic algorithm."
Data analysis and visualisation for electrification of remote underdeveloped locations,"Supervisors: Rajab Khalilpour, Ariel Liebman, Lachlan Andrew, Tim Dwyer","The aim of this project is to utilize machine learning clustering technics to assess a database with 80,000 rows and develop decision support tools for helping decision makers in finding the most optimal (least cost and fair) set of villages for electrification.",,"Data analysis, machine learning, decision analysis","The aim of this project is to utilize machine learning clustering technics to assess a database with 80,000 rows and develop decision support tools for helping decision makers in finding the most optimal (least cost and fair) set of villages for electrification."
Data analysis and visualisation for electrification of remote underdeveloped locations,"Supervisors: Rajab Khalilpour, Ariel Liebman, Lachlan Andrew, Tim Dwyer","The aim of this project is to utilize machine learning clustering technics to assess a database with 80,000 rows and develop decision support tools for helping decision makers in finding the most optimal (least cost and fair) set of villages for electrification.",,Supervisors: Michael Morgan,"The aim of this project is to utilize machine learning clustering technics to assess a database with 80,000 rows and develop decision support tools for helping decision makers in finding the most optimal (least cost and fair) set of villages for electrification."
,,,"Adafruit BNO055 Absolute Orientation Sensor, https://learn.adafruit.com/adafruit-bno055-absolute-orientation-sensor/overview",,
,,,"Talking d20 20-Sided Gaming Die, https://learn.adafruit.com/talking-d20-20-sided-gaming-die/overview",,
,,,"Roll-a-ball tutorial, https://unity3d.com/learn/tutorials/projects/roll-ball-tutorial",,
Pre-Visit Wayfinding for the Vision Impaired using a Prototype Interactive Controller and a Virtual 3D Environment Deployed on a Mobile Phone,Supervisors: Michael Morgan,The aim of the project is to create a prototype an interactive controller object and to connect this to a 3D simulation of a physical location deployed on a mobile phone. The project will explore:,,"Explicit knowledge of any specific technologies is not required, however the student must be prepared to investigate and use any new technologies that may be suitable for the project. Technologies will most likely include:",This project is based in the sensiLab research workshop at the Caulfield campus. If you are accepted for this project you will need to work regularly within the lab to access the equipment and facilities needed to develop the project.
,,,Time series data:https://datamarket.com/data/list/?q=provider:tsdl,,
Interactive and exploratory visualisation of time series data,"Supervisors: Zahraa Abdallah, Minyi Li","Our aim in this project is to build a web-based interactive tool to visualise time series data. The tool will be able to build the basic exploratory data analysis and statistics of time series at different time granularity using various features. We will also investigate methods to find similarities and differences between time series using a set of metrics such as Euclidean distance. Many publicly available time series datasets can be used in this project such as traffic data, weather data, stock market ..etc.",,The student must have experience in programming.,"Our aim in this project is to build a web-based interactive tool to visualise time series data. The tool will be able to build the basic exploratory data analysis and statistics of time series at different time granularity using various features. We will also investigate methods to find similarities and differences between time series using a set of metrics such as Euclidean distance. Many publicly available time series datasets can be used in this project such as traffic data, weather data, stock market ..etc."
,,,https://en.wikipedia.org/wiki/Preference_learning,,
Understanding your preferences/choices/decisions,"Supervisors: Minyi LI, Zahraa Abdallah","In this project, we will investigate methods to construct the structure of user preferences and understand the interactions between decision variables from data – it involves learning from observations that reveal information about the preferences structure of an individual or a class of individuals, and building models that generalize beyond such training data. Research might involve learning preference structure from real world data sets including netflix movie rating data, car preference data, etc..",,The student must have experience in programming.,"In this project, we will investigate methods to construct the structure of user preferences and understand the interactions between decision variables from data – it involves learning from observations that reveal information about the preferences structure of an individual or a class of individuals, and building models that generalize beyond such training data. Research might involve learning preference structure from real world data sets including netflix movie rating data, car preference data, etc.."
,,,"Cambria, E., Grassi, M., Hussain, A., & Havasi, C. (2012). Sentic computing for social media marketing. Multimedia Tools and Applications, 59(2), 557-577. doi:http://dx.doi.org.ezproxy.lib.monash.edu.au/10.1007/s11042-011-0815-0",,
Sentiment Analysis in Education and e-Government,"Supervisors: Dr. Chris Messom, Dr. Yen Cheung",This project aims to develop a sentiment harvest model/system to evaluate Educational Systems and e-Government Systems using the hybrid approach.,,"Some basic knowledge of AI is preferred (such as completion of an AI unit at undergraduate level). Otherwise, a highly enthusiastic and keen novice AI researcher may also be suitable for this project.","Adinolfi, Paola, Ernesto D'Avanzo, Miltiadis D. Lytras, Isabel Novo-Corti and Jose Picatoste. ""Sentiment Analysis to Evaluate Teaching Performance."" IJKSR 7.4 (2016): 86-107. Web. 8 Feb. 2017. doi:10.4018/IJKSR.2016100108"
,,,Gartner. (2012). Ceo survey 2012: The year of living hesitantly. Retrieved from https://www.gartner.com/doc/1957515/ceo-survey--year-living,,
Cloud ERP: An organisational motivation and learning perspective,"Supervisors: Dr Mahbubur Rahim, Dr Sue Foster and Dr Taiwo Oseni (External)","Recent studies such as (Mezghani, 2014) now report organisational intentions to switch from on-premise to cloud ERP, identifying the antecedents and determinants of the decision. This study will explore, within a large organisation setting, organisational motivation and organisational learning associated with moving ERP business processes to the cloud. Organisational motivation and organisational learning attributes can be helpful for understanding why and how organisations migrate towards cloud-based ERP. The study will aim to investigate:",,Either completion or nearing completion of bachelor degree in IS/IT,"Mezghani, K. (2014). Switching toward cloud erp: A research model to explain intentions. International Journal of Enterprise Information Systems, 10, 46+."
Cloud ERP in SMEs: The role of consultants,"Supervisors: Dr Mahbubur Rahim, Dr Sue Foster and Dr Taiwo Oseni (External)",The aim of the study is to document the experience of an SME and capture relevant lessons learned. Such lessons can be useful for enhancing cloud ERP research in addition to guiding other organisations who are considering a similar move. The study will investigate:,,Either completion or nearing completion of bachelor degree in IS/IT,"Johansson, B., Alajbegovic, A., Alexopoulos, V., & Desalermos, A. (2014). Cloud erp adoption opportunities and concerns: A comparison between smes and large companies. Paper presented at the Pre-ECIS 2014 Workshop"" IT Operations Management""(ITOM2014)."
,,,https://en.wikipedia.org/wiki/Semi-supervised_learning,,
,,,https://en.wikipedia.org/wiki/Activity_recognition,,
,,,https://archive.ics.uci.edu/ml/datasets/Human+Activity+Recognition+Using+Smartphones,,
Semi-supervised learning for activity recognition from mobile sensors,Supervisors: Zahraa S. Abdallah,The aim of the study is to document the experience of an SME and capture relevant lessons learned. Such lessons can be useful for enhancing cloud ERP research in addition to guiding other organisations who are considering a similar move. The study will investigate:,,The student must have experience in programming.,"We aim first to survey semi-supervised and unsupervised learning approaches for activity recognition. Then, we will need to develop new technique that incorporates active and incremental learning for more accurate activity recognition with limited availability of labelled data."
,,,http://www.cert.org/insider-threat/research/cybersecurity-watch-survey.cfm?,,
,,,https://en.wikipedia.org/wiki/Data_stream_mining,,
Detecting insider threats in streaming data,"Supervisors: Zahraa Abdallah, Geoff Webb",The aim of the study is to document the experience of an SME and capture relevant lessons learned. Such lessons can be useful for enhancing cloud ERP research in addition to guiding other organisations who are considering a similar move. The study will investigate:,,The student must have experience in Java programming.,"In this project, we aim to apply different stream mining techniques to detect insider threats using Internet logs. The main challenge is to discover the evolution of new concepts and distinguish between normal behaviour and threats in data streams. Streaming data typically arrive in high speed and require real time analysis. Thus, the efficiency of the applied techniques is a crucial factor to consider."
Inferring Concurrent Specifications for a Sequential Program,"Supervisors: Chris Ling, Yuan-Fang Li",The aim of the study is to document the experience of an SME and capture relevant lessons learned. Such lessons can be useful for enhancing cloud ERP research in addition to guiding other organisations who are considering a similar move. The study will investigate:,,* Good programming skills in Java or a similar object-oriented language,"[3] Stork, S., Naden, K., Sunshine, J., Mohr, M., Fonseca, A., Marques, P., & Aldrich, J. (2014). AEminium: A permission-based concurrent-by-default programming language approach. ACM Transactions on Programming Languages and Systems (TOPLAS), 36(1), 2."
,,,http://www.ligo.org/scientists/first2years/#2016,,
,,,https://dcc.ligo.org/public/0122/P1500227/012/GW150914_localization_and_followup.pdf,,
,,,http://rts2.org/scheduling.pdf,,
Optimising of multi-telescope observations of gravitational wave events,"Supervisors: Assoc. Prof. David Dowe, Dr. Evert Rol, Dr. Duncan Galloway (School of Physics & Astronomy, Faculty of Science)",The aim of the study is to document the experience of an SME and capture relevant lessons learned. Such lessons can be useful for enhancing cloud ERP research in addition to guiding other organisations who are considering a similar move. The study will investigate:,,- (Heuristic) optimisation,"The goal of the project is then to find the best set of algorithm parameters for a wide set of scenarios, so that we can create a fast and flexible scheduling tool."
Immersive geovisualisation,Supervisor: Bernie Jenny,The aim of the study is to document the experience of an SME and capture relevant lessons learned. Such lessons can be useful for enhancing cloud ERP research in addition to guiding other organisations who are considering a similar move. The study will investigate:,,Computer graphics/OpenGL,"The goal of this project is to develop new immersive 3D visualisation methods that are accurate, effective, and unambiguous to read. The visualisations should be applicable to AR (Augmented Reality), VR (Virtual Reality) and interactive 3D maps. You will draw inspiration from light painting art projects for placing bars and profiles in a 3D scene to visualise quantitative geodata. User acceptance, effectiveness, and efficiency can be evaluated through expert feedback and/or a user study."
,,,http://monash.edu.au/cave2,,
Three-dimensional geographic flow maps,Supervisor: Bernie Jenny,The aim of the study is to document the experience of an SME and capture relevant lessons learned. Such lessons can be useful for enhancing cloud ERP research in addition to guiding other organisations who are considering a similar move. The study will investigate:,,"C#, C++, or Java for option (3).",The goal of this project is to develop methods for the visualisation of geographic flows in three dimensions. Various options can be explored: (1) develop an algorithm for 2D maps that arranges flows on the z-axis and renders them with a ray-tracer; (2) conduct a user study to compare 2D and 3D flow maps; (3) develop a program with Unity to visualise 3D flows with immersive visualisation (head mounted displays or the Monash CAVE2)
,,,http://mapanalyst.org,,
Georectification of old maps,Supervisor: Bernie Jenny,The aim of the study is to document the experience of an SME and capture relevant lessons learned. Such lessons can be useful for enhancing cloud ERP research in addition to guiding other organisations who are considering a similar move. The study will investigate:,,Java programming,"Jenny, B. and Hurni, L. (2011). Studying cartographic heritage: analysis and visualization of geometric distortions. Computers & Graphics, 35-2, p. 402–411."
Graduated dot maps,Supervisor: Bernie Jenny,The aim of the study is to document the experience of an SME and capture relevant lessons learned. Such lessons can be useful for enhancing cloud ERP research in addition to guiding other organisations who are considering a similar move. The study will investigate:,,Preferably Python,"Ester, M., Kriegel, H., Sander, J. and Xu, X., 1996. A density-based algorithm for discovering clusters in large spatial databases with noise. Proceedings of the Second International Conference on Knowledge Discovery and Data Mining (KDD-96). AAAI Press. 226–231."
,,,https://pdfs.semanticscholar.org/e9e5/42fe723f74f8b8db4f8d9a400ee178dcdc9b.pdf,,
,,,http://homes.cs.washington.edu/~pedrod/papers/iswc03.pdf,,
